"class","order","family","genus","sci_name","atlantic","ne_pacific","nw_pacific","indian","mediterranean","s_pacific","alb_global_analysis","cclme_alb_diet","cclme_fed_saip_pre","cclme_frdcps","cclme_dfo","cclme_iys","atl_med_ind","pacific"
"Actinopterygii","Perciformes","Zoarcidae","Bothrocara","Bothrocara molle",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cephalopoda","Oegopsida","Brachioteuthidae","Brachioteuthis","Brachioteuthis riisei",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus","Brachyscelus crusculum",1,0,1,1,1,1,1,0,0,0,0,0,1,1
"Malacostraca","Amphipoda","Brachyscelidae","Brachyscelus","Brachyscelus macrocephalus",0,1,0,0,0,0,1,0,0,0,0,0,0,1
"Actinopterygii","Perciformes","Bramidae","Brama","Brama brama",0,1,0,0,0,0,1,0,0,0,0,0,1,1
"Actinopterygii","Perciformes","Bramidae","Brama","Brama japonica",0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Actinopterygii","Perciformes","Bramidae","Brama","Brama orcini",1,1,0,0,0,0,1,0,0,0,0,0,1,1
"Actinopterygii","Gadiformes","Bregmacerotidae","Bregmaceros","Bregmaceros mcclellandi",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Hexanauplia","Calanoida","Calanidae","Calanus","Calanus finmarchicus",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Malacostraca","Decapoda","Cancridae","Cancer","Cancer productus",0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Actinopterygii","Tetraodontiformes","Balistidae","Canthidermis","Canthidermis maculata",0,0,0,1,0,0,1,0,0,0,0,0,1,1
"Actinopterygii","Perciformes","Caproidae","Capros","Capros aper",1,0,0,0,1,0,1,0,0,0,0,0,1,0
"Gastropoda","Littorinimorpha","Carinariidae","Carinaria","Carinaria lamarckii",1,1,0,0,0,0,1,0,0,0,0,0,1,1
"Actinopterygii","Perciformes","Malacanthidae","Caulolatilus","Caulolatilus princeps",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Actinopterygii","Perciformes","Centrolophidae","Centrolophus","Centrolophus niger",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Lophiiformes","Ceratiidae","Ceratias","Ceratias tentaculatus",0,0,0,1,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus","Ceratoscopelus maderensis",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus","Ceratoscopelus townsendi",0,1,0,0,0,0,1,1,1,1,0,0,1,1
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus","Ceratoscopelus warmingii",0,0,1,0,0,0,1,0,0,0,0,0,0,1
"Actinopterygii","Stomiiformes","Stomiidae","Chauliodus","Chauliodus macouni",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Actinopterygii","Beloniformes","Exocoetidae","Cheilopogon","Cheilopogon pinnatibarbatus pinnatibarbatus",0,0,0,0,0,0,0,1,0,1,0,0,0,1
"Hydrozoa","Siphonophorae","Diphyidae","Chelophyes","Chelophyes appendiculata",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Perciformes","Chiasmodontidae","Chiasmodon","Chiasmodon niger",0,1,0,1,0,0,1,0,0,0,0,0,1,1
"Actinopterygii","Ophidiiformes","Ophidiidae","Chilara","Chilara taylori",0,1,0,0,0,0,1,1,0,0,0,0,0,1
"Cephalopoda","Oegopsida","Chiroteuthidae","Chiroteuthis","Chiroteuthis calyx",0,0,0,0,0,0,0,0,1,1,0,1,0,1
"Cephalopoda","Oegopsida","Chiroteuthidae","Chiroteuthis","Chiroteuthis veranii",1,0,0,0,1,0,1,0,0,0,0,0,1,0
"Actinopterygii","Aulopiformes","Chlorophthalmidae","Chlorophthalmus","Chlorophthalmus agassizi",1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Actinopterygii","Perciformes","Pomacentridae","Chromis","Chromis punctipinnis",0,1,0,0,0,0,1,0,0,0,0,0,0,1
