"class","order","family","genus","sci_name","alt_names","tax_level","life_stage","trophic_level","troph_lev_se","troph_estimate","IUCN_status","fisheries_status","commercial","recreational"
"Actinopterygii","Perciformes","Malacanthidae","Caulolatilus","Caulolatilus princeps","Caulolatilus princeps; Caulolatilus affinis Hildebrand, 1946; Dekaya anomala Cooper, 1863; Latilus princeps Jenyns, 1840","species","adult",3.9,0.5,"Relatives","LC","commercial",1,1
"Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus symmetricus",NA,"species","adult",3.57,0.198,"Species","LC","commercial",1,1
"Actinopterygii","Pleuronectiformes","Pleuronectidae","Lyopsetta","Lyopsetta exilis","Lyopsetta exilis; Eopsetta exilis (Jordan & Gilbert, 1880); Hippoglossoides exilis Jordan & Gilbert, 1882","species","larva",NA,NA,NA,"LC","none",0,0
"Actinopterygii","Perciformes","Pomacentridae","Chromis","Chromis punctipinnis",NA,"species","adult",2.73,0.31,"Species","LC","minor commercial",1,1
"Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka","Oncorhynchus nerka; Hypsifario kennerlyi (Suckley, 1861); Oncorhynchus adonis Jordan & McGregor in Jordan & Hubbs, 1925; Oncorhynchus nerka kennerlyi (Suckley, 1861); Salmo kennerlyi Suckley, 1861; Salmo nerka Walbaum, 1792; Salmo paucidens Richardson, 1837","species","juvenile",NA,NA,NA,"LC","none",0,0
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes diploproa",NA,"species","adult",3.7,0.6,"Relatives","NE","minor commercial",1,1
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes aleutianus",NA,"species","adult",3.52,0.21,"Species","NE","commercial",1,1
"Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes brevispinis",NA,"species","adult",3.8,0.7,"Relatives","NE","commercial",1,1
"Actinopterygii","Myctophiformes","Myctophidae","Tarletonbeania","Tarletonbeania crenularis",NA,"species","adult",3.13,0.32,"Species","LC","none",0,0
"Actinopterygii","Syngnathiformes","Centriscidae","Macroramphosus","Macroramphosus gracilis","Macroramphosus gracilis","species","adult",3.4,0.5,"Relatives","NE","none",0,0
"Actinopterygii","Perciformes","Bramidae","Brama","Brama brama",NA,"species","adult",4.08,0.64,"Species","LC","commercial",1,0
"Actinopterygii","Perciformes","Scombridae","Thunnus","Thunnus alalunga","Thunnus alalunga","species","juvenile",NA,NA,NA,"NT","highly commercial",1,1
"Actinopterygii","Perciformes","Scombridae","Scomber","Scomber scombrus",NA,"species","adult",3.63,0.178,"Species","LC","highly commercial",1,1
"Actinopterygii","Stomiiformes","Sternoptychidae","Sternoptyx","Sternoptyx obscura",NA,"species","adult",3.3,0.2,"Relatives","LC","none",0,0
"Actinopterygii","Stomiiformes","Phosichthyidae","Vinciguerria","Vinciguerria lucetia",NA,"species","adult",3.2,0.3,"Relatives","LC","none",0,0
"Actinopterygii","Stomiiformes","Stomiidae","Bathophilus","Bathophilus flemingi",NA,"species","adult",3.5,0.5,"Species","LC","none",0,0
