column,trait_type,instructions,data_type,values,data_collection_source,search_terms,rfishbase_functions,rfishbase_fields,links
col_disrupt,morphological,Disruptive colouration present. Use species photo to assess disruptive coloration using col_disrupt_type categories. 1 = yes; 0 = no.,binomial,"1, 0",FishBase/SeaLifeBase; Literature; Photos,"""genus species""",,,https://en.wikipedia.org/wiki/Disruptive_coloration
col_disrupt_type,morphological,Type of disruptive colouration. Can include reference or url. Use species photo to assess disruptive coloration type.,"annotation, reference","E.g: spots, bars/stripes, eye spot, pattern, none. ",FishBase/SeaLifeBase; Literature; Photos,"""genus species""",,,https://en.wikipedia.org/wiki/Disruptive_coloration
silver,morphological,Silvering present. Use species photo to assess silvering. 1 = yes; 0 = no.,binomial,"1, 0",FishBase/SeaLifeBase; Literature; Photos,"""genus species""",,,https://pdfs.semanticscholar.org/4307/2d484f3aaf413035430e9e4a63821c1c5c9b.pdf
countershade,morphological,Countershading present. Use species photo to assess countershading. 1 = yes; 0 = no.,binomial,"1, 0",FishBase/SeaLifeBase; Literature; Photos,"""genus species""",,,https://en.wikipedia.org/wiki/Countershading
countershade_silver_note,morphological,Notes about countershading or silvering,annotation,,FishBase/SeaLifeBase; Literature; Photos,,,,
countershade_ref,morphological,Reference for countershading,reference,,,,,,
countershade_url,morphological,Link to reference source,url,,,,,,
silver_ref,morphological,Reference for silvering,reference,,,,,,
silver_url,morphological,Link to reference source,url,,,,,,
photophore_num,morphological,Number of photophores. Literature is generally a more useful than databases. ,"continuous, annotation","number, range, ""present""",FishBase/SeaLifeBase; Literature,"""genus species"" AND (photophore OR ""light organ"")",,,
photophore_note,morphological,Notes about photophores,annotation,,FishBase/SeaLifeBase; Literature; Photos,,,,
photophore_ref,morphological,Reference for number of photophores,reference,,,,,,
photophore_url,morphological,Link to literature article or database,url,,,,,,
photophore_ref2,morphological,Reference for number of photophores,reference,,,,,,
photophore_url2,morphological,Link to literature article or database,url,,,,,,
gregarious_original,behavioral,Description of aggregation behaviour. Can add multiple phrases that apply. ,annotation,"E.g.: aggregate, colonial, congregate, planktonic, pairing",FishBase/SeaLifeBase; Literature,"""genus species"" AND (aggregat* OR group* OR school* OR shoal* OR solitary OR pair)",ecology,"Schooling, SchoolingLifestage, Shoaling, ShoalingLifestage, AssociationRemarks",
gregarious,behavioral,"Primary aggregation trait based on the main aggregation type listed in gregarious_original. solitary: n = 1; shoaling: n = 2-100, gregarious, aggregation, small group, congregate, pair; schooling: n = >100, planktonic.",categorical,"solitary, shoaling, schooling",FishBase/SeaLifeBase; Literature,"""genus species"" AND (aggregat* OR group* OR school* OR shoal* OR solitary OR pair)",ecology,"Schooling, SchoolingLifestage, Shoaling, ShoalingLifestage, AssociationRemarks",
gregarious_2,behavioral,Secondary aggregation trait (if applicable). Occasionally a species will have different aggregation behaviours across life history or reproduction,categorical,"solitary, shoaling, schooling",FishBase/SeaLifeBase; Literature,"""genus species"" AND (aggregat* OR group* OR school* OR shoal* OR solitary OR pair)",ecology,"Schooling, SchoolingLifestage, Shoaling, ShoalingLifestage, AssociationRemarks",
gregarious_3,behavioral,Tertiary aggregation trait type (if applicable),categorical,"solitary, shoaling, schooling",FishBase/SeaLifeBase; Literature,"""genus species"" AND (aggregat* OR group* OR school* OR shoal* OR solitary OR pair)",ecology,"Schooling, SchoolingLifestage, Shoaling, ShoalingLifestage, AssociationRemarks",
gregarious_note,behavioral,Notes from database or literature about aggregation behaviour,annotation,,FishBase/SeaLifeBase; Literature,,,,
gregarious_ref,behavioral,Reference for aggregtion behaviour,reference,,,,,,
gregarious_url,behavioral,Link to reference source,url,,,,,,
gregarious_ref2,behavioral,Reference for aggregtion behaviour,reference,,,,,,
gregarious_url2,behavioral,Link to reference source,url,,,,,,
gregarious_ref3,behavioral,Reference for aggregtion behaviour,reference,,,,,,
gregarious_url3,behavioral,Link to reference source,url,,,,,,
trophic_level,population status,"Trophic Level. FishBase covariate, trophic information on bottom of species page or use rfishbase code.",continuous,0-5,FishBase/SeaLifeBase,,estimate,Troph,
troph_lev_se,population status,Standard error (SE) for trophic_level.,continuous,,FishBase/SeaLifeBase,,estimate,seTroph,
troph_estimate,population status,Source of diet estimation in for trophic_level in FishBase ,categorical,"species, genus, relatives, food items",FishBase; SeaLifeBase,,,,
IUCN_status,population status,"IUCN Redlist status, use website. DD = Data Deficient; LC = Least Concern; NT = Near Threatened; VU= Vulnerable; EN = Endangered; CR = Critically Endangered; EW =  Extinct In The Wild; EX = Extinct; NE = Not Evaluated.",categorical,"DD, LC, NT, VU, EN, CR, EW, EX, NE",IUCN redlist,"""genus species""",,,https://www.iucnredlist.org/
fisheries_status,population status,"Summary of commercial & recreational value. For adult life stage only. FishBase covariate: none = ""of no interest""; potential = ""of potential interest""; subsistance = ""subsistance fisheries""; aquarium = aquarium/aquaculture",categorical,"none, potential, recreational, subsistence, minor commercial, commercial, highly commercial, aquarium",FishBase; SeaLifeBase; Cephalopod of the World (fao); Internet search,"""genus species"" AND (commercial OR fishery OR fisheries OR catch* OR recreation* OR subsistence)",species,Importance,https://www.fao.org/
recreational,population status,Does the specie have recreational value? 1 = yes; 0 = no.,binomial,"1, 0",FishBase; SeaLifeBase; Internet search,"""genus species"" AND (recreation* OR fishery OR fisheries)",,,
addl_ref,,Additional sources for trait data,reference,,,,,,
addl_url,,Additional link to reference source,url,,,,,,
addl_ref2,,Additional sources for trait data,reference,,,,,,
addl_url2,,Additional link to reference source,url,,,,,,
addl_ref3,,Additional sources for trait data,reference,,,,,,
addl_url3,,Additional link to reference source,url,,,,,,
addl_ref4,,Additional sources for trait data,reference,,,,,,
addl_url4,,Additional link to reference source,url,,,,,,
