"class","order","family","genus","sci_name","common_name","tax_level","qual_found","lipid_ww_percent","protein_ww_percent","energy_ww_kj_g","energy_method","lipid_ww","lipid_dw","lipid_afdw","protein_ww","protein_dw","protein_afdw","energy_ww","energy_dw","energy_afdw","n","water","ash_ww","ash_dw","life_stage","age","sex","ww_mean_g","ww_min_g","ww_max_g","length_mean_cm","length_min_cm","length_max_cm","length_type","start_year","end_year","start_month","end_month","start_day","end_day","lat","long","longhurst_province","specific_location","ocean_basin","publication_year","reference","url","notes"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",2.6,17.6,4.6024,"proximate_composition",2.6,NA,NA,17.6,NA,NA,NA,16.736,NA,NA,72.5,NA,NA,NA,NA,"F",NA,NA,NA,30.5,27,34,"TL","1977","1977","January","January",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 4"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",2.2,17.5,4.49010144,"proximate_composition",2.2,NA,NA,17.5,NA,NA,NA,16.56864,NA,NA,72.9,NA,NA,NA,NA,"F",NA,NA,NA,30.5,27,34,"TL","1977","1977","February","February",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 3.96"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",5.5,16.8,5.56329744,"proximate_composition",5.5,NA,NA,16.8,NA,NA,NA,20.83632,NA,NA,73.3,NA,NA,NA,NA,"F",NA,NA,NA,30.5,27,34,"TL","1977","1977","September","September",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 4.98"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",5,16.2,5.226862,"proximate_composition",5,NA,NA,16.2,NA,NA,NA,19.874,NA,NA,73.7,NA,NA,NA,NA,"M",NA,NA,NA,30.5,27,34,"TL","1977","1977","September","September",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 4.75"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",2.8,16.7,4.31654912,"proximate_composition",2.8,NA,NA,16.7,NA,NA,NA,16.86152,NA,NA,74.4,NA,NA,NA,NA,"F",NA,NA,NA,30.5,27,34,"TL","1977","1977","March","March",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 4.03"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",4,16.4,4.7798016,"proximate_composition",4,NA,NA,16.4,NA,NA,NA,18.74432,NA,NA,74.5,NA,NA,NA,NA,"M",NA,NA,NA,30.5,27,34,"TL","1977","1977","June","June",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 4.48"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",3.8,16.6,4.7264556,"proximate_composition",3.8,NA,NA,16.6,NA,NA,NA,18.53512,NA,NA,74.5,NA,NA,NA,NA,"F",NA,NA,NA,30.5,27,34,"TL","1977","1977","June","June",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 4.43"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",5.2,16.5,5.3456876,"proximate_composition",5.2,NA,NA,16.5,NA,NA,NA,21.1292,NA,NA,74.7,NA,NA,NA,NA,"F",NA,NA,NA,30.5,27,34,"TL","1977","1977","August","August",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 5.05"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",2.2,16.6,3.95388,"proximate_composition",2.2,NA,NA,16.6,NA,NA,NA,15.69,NA,NA,74.8,NA,NA,NA,NA,"M",NA,NA,NA,30.5,27,34,"TL","1977","1977","March","March",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 3.75"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",4.9,16.7,5.22966528,"proximate_composition",4.9,NA,NA,16.7,NA,NA,NA,20.75264,NA,NA,74.8,NA,NA,NA,NA,"M",NA,NA,NA,30.5,27,34,"TL","1977","1977","August","August",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 4.96"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",4.7,16.1,4.87436,"proximate_composition",4.7,NA,NA,16.1,NA,NA,NA,19.49744,NA,NA,75,NA,NA,NA,NA,"M",NA,NA,NA,30.5,27,34,"TL","1977","1977","July","July",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 4.66"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",4.8,16.4,4.93712,"proximate_composition",4.8,NA,NA,16.4,NA,NA,NA,19.74848,NA,NA,75,NA,NA,NA,NA,"F",NA,NA,NA,30.5,27,34,"TL","1977","1977","July","July",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 4.72"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",3.6,15.8,4.4438264,"proximate_composition",3.6,NA,NA,15.8,NA,NA,NA,17.9912,NA,NA,75.3,NA,NA,NA,NA,"F",NA,NA,NA,30.5,27,34,"TL","1977","1977","April","April",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 4.3"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",3.3,16.1,4.30947816,"proximate_composition",3.3,NA,NA,16.1,NA,NA,NA,17.44728,NA,NA,75.3,NA,NA,NA,NA,"M",NA,NA,NA,30.5,27,34,"TL","1977","1977","April","April",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 4.17"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",3.5,16.4,4.51872,"proximate_composition",3.5,NA,NA,16.4,NA,NA,NA,18.828,NA,NA,76,NA,NA,NA,NA,"M",NA,NA,NA,30.5,27,34,"TL","1977","1977","May","May",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 4.5"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",3.7,16.8,4.5588864,"proximate_composition",3.7,NA,NA,16.8,NA,NA,NA,18.99536,NA,NA,76,NA,NA,NA,NA,"F",NA,NA,NA,30.5,27,34,"TL","1977","1977","May","May",NA,NA,15.4,73.77,"INDW","Goa","Indian Ocean",1978,"Das, H. Seasonal variations in the chemical compostion and caloric content of Mugil cephalus Linnaeus from the Goa waters. Mahasagar-Bulletin of the National Institute of Oceanography 11, 177–184 (1978).","https://drs.nio.res.in/drs/bitstream/handle/2264/5354/Mahasagar_11_177.pdf?sequence=1&isAllowed=y","energy density seems wrong, it is currently in kcal/mg dw, as stated in the paper but converting that to kj/g results in a value in the thousands. My guess is that the energy density is actually in gram calories, or is in kcal/g, not kcal/mg. I made this assumption and that is what the values that we have represent; ED is dry weight; values are estimated from the figures; this is a rough estimate of the coordinates. The orginal estimated value in their stated kcal/mg was: 4.54"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",1.5,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317.515,NA,NA,NA,NA,NA,NA,"1973","1973","May","May",NA,NA,29.769,-85.449,"CARB","Port St. Joe, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in May, maximum in October); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/22342/port-st-joe-florida"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",2.9,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453.592,NA,NA,NA,NA,NA,NA,"1973","1973","July","July",NA,NA,29.769,-85.449,"CARB","Port St. Joe, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in May, maximum in October); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/22342/port-st-joe-florida"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",4.6,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,544.311,NA,NA,NA,NA,NA,NA,"1973","1973","August","August",NA,NA,29.769,-85.449,"CARB","Port St. Joe, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in May, maximum in October); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/22342/port-st-joe-florida"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680.389,NA,NA,NA,NA,NA,NA,"1973","1973","October","October",NA,NA,29.769,-85.449,"CARB","Port St. Joe, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in May, maximum in October); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/22342/port-st-joe-florida"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",3.4,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,861.826,NA,NA,NA,NA,NA,NA,"1973","1973","November","November",NA,NA,29.769,-85.449,"CARB","Port St. Joe, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in May, maximum in October); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/22342/port-st-joe-florida"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",2.6,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680.389,NA,NA,NA,NA,NA,NA,"1974","1974","January","January",NA,NA,28.572,-82.655,"CARB","Pine Island, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in January, maximum in October); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/106519/pine-island-hernando-county-florida"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",4.6,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680.389,NA,NA,NA,NA,NA,NA,"1973","1973","June","June",NA,NA,28.572,-82.655,"CARB","Pine Island, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in January, maximum in October); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/106519/pine-island-hernando-county-florida"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",5.6,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725.748,NA,NA,NA,NA,NA,NA,"1973","1973","July","July",NA,NA,28.572,-82.655,"CARB","Pine Island, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in January, maximum in October); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/106519/pine-island-hernando-county-florida"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",6.6,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,907.185,NA,NA,NA,NA,NA,NA,"1973","1973","September","September",NA,NA,28.572,-82.655,"CARB","Pine Island, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in January, maximum in October); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/106519/pine-island-hernando-county-florida"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",8.9,NA,NA,NA,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.62,NA,NA,NA,NA,NA,NA,"1973","1973","October","October",NA,NA,28.572,-82.655,"CARB","Pine Island, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in January, maximum in October); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/106519/pine-island-hernando-county-florida"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",3.2,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.592,NA,NA,NA,NA,NA,NA,"1974","1974","January","January",NA,NA,28.911,-80.764,"NWCS","Oakhill, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in January, maximum in September); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/81902/oak-hill-florida"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",3.6,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,635.029,NA,NA,NA,NA,NA,NA,"1973","1973","May","May",NA,NA,28.911,-80.764,"NWCS","Oakhill, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in January, maximum in September); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/81902/oak-hill-florida"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",3.7,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,725.748,NA,NA,NA,NA,NA,NA,"1973","1973","July","July",NA,NA,28.911,-80.764,"NWCS","Oakhill, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in January, maximum in September); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/81902/oak-hill-florida"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",8.2,NA,NA,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,861.826,NA,NA,NA,NA,NA,NA,"1973","1973","September","September",NA,NA,28.911,-80.764,"NWCS","Oakhill, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in January, maximum in September); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/81902/oak-hill-florida"
"Actinopterygii","Perciformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","species","yes",6.7,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1133.98,NA,NA,NA,NA,NA,NA,"1973","1973","November","November",NA,NA,28.911,-80.764,"NWCS","Oakhill, Florida","Atlantic Ocean",1976,"Deng, J. C., Orthoefer, F. T., Dennison, R. A. & Watson, M. Lipids and fatty acids in mullet (Mugil cephalus): Seasonal and locational variations. J Food Science 41, 1479–1483 (1976).","10.1111/j.1365-2621.1976.tb01199.x","Seasonal variation in wet weight (minimum in January, maximum in September); approximate coordinates from https://latitude.to/articles-by-country/us/united-states/81902/oak-hill-florida"
